Customer_ID,Customer_Name,DeliveryBoy_ID,DeliveryBoy_Name,Route_No,Customer_Status,Month,Year,Billing_Date,Delivery_Days,Daily_Milk_Litre,Total_Morning_Litre,Price_Per_Litre,Opening_Balance,Bill_Amount,Payment_Received,Closing_Balance,Payment_Mode,Payment_Status,Delivery_Type,Commission_Rate,Commission_Amount
C1003,Nilesh Soni,DB003,Jignesh Solanki,3,Active,January,2026,25-01-2026,29,0.5,14.5,64,58.25,928,851.52,134.73,Cash,Partial,Commission,4,37.12
C1004,Paresh Thakkar,DB004,Hardik Chauhan,4,Active,January,2026,31-01-2026,29,1.5,43.5,65,52.79,2827.5,2700.46,179.83,Bank Transfer,Partial,Fixed Salary,0,0
C1004,Paresh Thakkar,DB004,Hardik Chauhan,4,Active,February,2026,26-02-2026,26,1.5,39,65,179.83,2535,2469.18,245.65,Cash,Pending,Fixed Salary,0,0
C1004,Paresh Thakkar,DB004,Hardik Chauhan,4,Active,March,2026,31-03-2026,31,1.5,46.5,65,245.65,3022.5,3174.49,93.66,UPI,Partial,Fixed Salary,0,0
C1005,Bharat Rathod,DB005,Mehul Joshi,5,Active,February,2026,28-02-2026,28,0.5,14,64,287.71,896,1102.36,81.35,Cash,Pending,Commission,5,44.8
C1005,Bharat Rathod,DB005,Mehul Joshi,5,Active,May,2026,28-05-2026,29,0.5,14.5,64,81.35,928,915.64,93.71,Bank Transfer,Pending,Commission,5,46.4
C1005,Bharat Rathod,DB005,Mehul Joshi,5,Active,January,2026,28-01-2026,30,0.5,15,64,93.71,960,1048.25,5.46,Cash,Partial,Commission,5,48
C1005,Bharat Rathod,DB005,Mehul Joshi,5,Active,March,2026,26-03-2026,31,0.5,15.5,64,5.46,992,875.97,121.49,UPI,Pending,Commission,5,49.6
C1005,Bharat Rathod,DB005,Mehul Joshi,5,Active,April,2026,29-04-2026,29,0.5,14.5,64,121.49,928,1015.43,34.06,UPI,Pending,Commission,5,46.4
C1005,Bharat Rathod,DB005,Mehul Joshi,5,Active,June,2026,25-06-2026,29,0.5,14.5,64,34.06,928,823.79,138.27,UPI,Partial,Commission,5,46.4
C1006,Ketan Parmar,DB006,Vishal Rabari,6,Active,May,2026,,24,3,72,60,68.2,4320,4231.85,156.35,UPI,Partial,Fixed Salary,0,0
C1006,Ketan Parmar,DB006,Vishal Rabari,6,Active,March,2026,26-03-2026,26,3,78,60,156.35,4680,4610.28,226.07,UPI,Pending,Fixed Salary,0,0
C1006,Ketan Parmar,DB006,Vishal Rabari,6,,February,2026,25-02-2026,26,3,78,60,226.07,4680,4623.15,282.92,Cash,Paid,Fixed Salary,0,0
C1006,Ketan Parmar,DB006,Vishal Rabari,6,Active,January,2026,30-01-2026,27,3,81,60,282.92,4860,4865.07,277.85,Cash,Partial,Fixed Salary,0,0
C1006,Ketan Parmar,DB006,Vishal Rabari,6,Active,April,2026,29-04-2026,26,3,78,60,277.85,4680,4751.39,206.46,UPI,Partial,Fixed Salary,0,0
C1006,Ketan Parmar,DB006,Vishal Rabari,6,Active,June,2026,26-06-2026,25,3,75,60,206.46,4500,4522.04,184.42,UPI,Pending,Fixed Salary,0,0
C1007,Kalpesh Trivedi,DB007,Karan Gohil,7,Active,January,2026,30-01-2026,11,2,22,58,-63.94,1276,1199.73,12.33,Bank Transfer,Partial,Commission,6,76.56
C1007,Kalpesh Trivedi,DB007,Karan Gohil,7,Active,February,2026,27-02-2026,18,2,36,58,12.33,2088,2003.07,97.26,Cash,Pending,Commission,6,125.28
C1007,Kalpesh Trivedi,DB007,Karan Gohil,7,Active,May,2026,28-05-2026,18,2,36,58,97.26,2088,2092.8,92.46,UPI,Pending,Commission,6,125.28
C1007,Kalpesh Trivedi,DB007,Karan Gohil,7,Active,March,2026,25-03-2026,16,2,32,58,92.46,1856,1814.42,134.04,Cash,Partial,Commission,6,111.36
C1008,Yash Solanki,DB001,Amit Patel,8,Active,February,2026,28-02-2026,26,2,52,64,269.96,3328,3490.39,107.57,Cash,Partial,Commission,5,166.4
C1008,Yash Solanki,DB001,Amit Patel,8,Active,April,2026,30-04-2026,30,2,60,64,107.57,3840,3794.52,153.05,UPI,Partial,Commission,5,192
C1008,Yash Solanki,DB001,Amit Patel,8,Active,May,2026,31-05-2026,29,2,58,64,153.05,3712,3840.38,24.67,,Pending,Commission,5,185.6
C1008,Yash Solanki,DB001,Amit Patel,8,Active,January,2026,30-01-2026,31,2,62,64,24.67,3968,3839.23,153.44,UPI,Pending,Commission,5,198.4
C1008,Yash Solanki,DB001,Amit Patel,8,Active,March,2026,26-03-2026,29,2,58,64,153.44,3712,3857.68,7.76,UPI,Partial,Commission,5,185.6
C1009,Harshad Solanki,DB002,Rahul Parmar,9,Active,June,2026,27-06-2026,16,1.5,24,64,353.82,1536,1706.69,183.13,Cash,Partial,Fixed Salary,0,0
C1009,Harshad Solanki,DB002,Rahul Parmar,9,Active,February,2026,27-02-2026,14,1.5,21,64,183.13,1344,1444.63,82.5,Cash,Partial,Fixed Salary,0,0
C1009,Harshad Solanki,DB002,Rahul Parmar,9,Active,January,2026,29-01-2026,21,1.5,31.5,64,82.5,2016,1809.2,289.3,Cash,Partial,Fixed Salary,0,0
C1010,Darshan Parmar,DB003,Jignesh Solanki,10,Active,April,2026,27-04-2026,30,1,30,65,-129.74,1950,1721.91,98.35,Cash,PAID,Commission,4,78
C1010,Darshan Parmar,DB003,Jignesh Solanki,10,Active,February,2026,28-02-2026,26,1,26,65,98.35,1690,1557.87,230.48,UPI,Pending,Commission,4,67.6
C1010,Darshan Parmar,DB003,Jignesh Solanki,10,Active,March,2026,27-03-2026,31,1,31,65,230.48,2015,2089.04,156.44,Bank Transfer,Partial,Commission,4,80.6
C1011,Jayesh Mehta,DB004,Hardik Chauhan,11,Stopped,May,2026,29-05-2026,29,3,87,64,-4.39,5568,5539.19,24.42,UPI,Partial,Fixed Salary,0,0
C1011,Jayesh Mehta,DB004,Hardik Chauhan,11,Stopped,February,2026,27-02-2026,25,3,75,64,24.42,4800,4537.03,287.39,Cash,Pending,Fixed Salary,0,0
C1011,Jayesh Mehta,DB004,Hardik Chauhan,11,Stopped,March,2026,30-03-2026,28,3,84,64,287.39,5376,5373.6,289.79,UPI,Pending,Fixed Salary,0,0
C1011,Jayesh Mehta,DB004,Hardik Chauhan,11,Stopped,June,2026,27-06-2026,22,3,66,64,289.79,4224,4289.65,224.14,UPI,Partial,Fixed Salary,0,0
C1012, Bharat Kansara ,DB005,Mehul Joshi,12,Active,April,2026,27-04-2026,28,2,56,64,342.55,3584,3910.23,16.32,Bank Transfer,Pending,Commission,5,179.2
C1012,Bharat Kansara,DB005,Mehul Joshi,12,Active,February,2026,28-02-2026,26,2,52,64,16.32,3328,3187.39,156.93,Bank Transfer,paid,Commission,5,166.4
C1012,Bharat Kansara,DB005,Mehul Joshi,12,Active,January,2026,27-01-2026,31,2,62,64,156.93,3968,,90.35,UPI,Partial,Commission,5,198.4
C1013,Dilip Parmar,DB006,Vishal Rabari,13,Active,June,2026,28-06-2026,28,1,28,64,365.13,1792,2138.03,19.1,UPI,Pending,Fixed Salary,0,0
C1013,Dilip Parmar,DB006,Vishal Rabari,13,Active,February,2026,28-02-2026,27,1,27,64,19.1,1728,1456.96,290.14,UPI,Pending,Fixed Salary,0,0
C1013,Dilip Parmar,DB006,Vishal Rabari,13,Active,April,2026,26-04-2026,30,1,30,64,290.14,1920,1928.99,281.15,,Pending,Fixed Salary,0,0
C1014,Pravin Makwana,DB007,Karan Gohil,14,Active,February,2026,26-02-2026,26,0.5,13,58,-136.13,754,614.16,3.71,Bank Transfer,Paid,Commission,6,45.24
C1014,Pravin Makwana,DB007,Karan Gohil,14,Active,June,2026,29-06-2026,28,0.5,14,58,3.71,812,691.76,123.95,Bank Transfer,Pending,Commission,6,48.72
C1014,Pravin Makwana,DB007,Karan Gohil,14,Active,January,2026,30-01-2026,29,0.5,14.5,58,123.95,841,812.38,152.57,UPI,Pending,Commission,6,50.46
C1015,Yash Gohil,DB001,Amit Patel,15,Active,June,2026,26-06-2026,28,3,84,64,56.34,5376,,67.78,UPI,Pending,Commission,5,268.8
C1015,Yash Gohil,DB001,Amit Patel,15,Active,April,2026,30-04-2026,30,3,90,64,67.78,5760,5816.13,11.65,Cash,Pending,Commission,5,288
C1015,Yash Gohil,DB001,Amit Patel,15,Active,January,2026,30-01-2026,29,3,87,64,11.65,5568,5499.85,79.8,Bank Transfer,Pending,Commission,5,278.4
C1015,Yash Gohil,DB001,Amit Patel,15,Active,March,2026,25-03-2026,31,3,93,64,79.8,5952,5740.23,291.57,Cash,Partial,Commission,5,297.6
C1015,Yash Gohil,DB001,Amit Patel,15,Active,February,2026,26-02-2026,28,3,84,64,291.57,5376,5663,4.57,Cash,Paid,Commission,5,268.8
C1016,Piyush Rabari,DB002,Rahul Parmar,16,Active,March,2026,31-03-2026,26,1,26,60,29.78,1560,1337.87,251.91,Bank Transfer,Partial,Fixed Salary,0,0
C1016,Piyush Rabari,DB002,Rahul Parmar,16,Active,May,2026,29-05-2026,23,1,23,60,251.91,1380,1500.75,131.16,Bank Transfer,Partial,Fixed Salary,0,0
C1016,Piyush Rabari,DB002,Rahul Parmar,16,Active,February,2026,26-02-2026,22,1,22,60,131.16,1320,1214.4,236.76,Cash,Partial,Fixed Salary,0,0
C1016,Piyush Rabari,DB002,Rahul Parmar,16,Active,April,2026,29-04-2026,23,1,23,60,236.76,1380,1606.89,9.87,UPI,Partial,Fixed Salary,0,0
C1016,Piyush Rabari,DB002,Rahul Parmar,16,Active,June,2026,25-06-2026,23,1,23,60,9.87,1380,1286.41,103.46,UPI,Partial,Fixed Salary,0,0
C1017,Hemant Soni,DB003,Jignesh Solanki,17,Active,March,2026,25-03-2026,29,3,87,58,-124.32,5046,4859.96,61.72,UPI,Partial,Commission,4,201.84
C1017,Hemant Soni,DB003,Jignesh Solanki,17,Active,February,2026,28-02-2026,28,3,84,58,61.72,4872,4907.48,26.24,Bank Transfer,Pending,Commission,4,194.88
C1017,Hemant Soni,DB003,Jignesh Solanki,17,Active,January,2026,27-01-2026,29,3,87,58,26.24,5046,5032.44,39.8,Bank Transfer,Partial,Commission,4,201.84
C1017,Hemant Soni,DB003,Jignesh Solanki,17,Active,June,2026,27-06-2026,29,3,87,58,39.8,5046,4984.85,100.95,Cash,Partial,Commission,4,201.84
C1017,Hemant Soni,DB003,Jignesh Solanki,17,Active,May,2026,27-05-2026,,3,90,58,100.95,5220,5041.92,279.03,UPI,Pending,Commission,4,208.8
C1017,Hemant Soni,DB003,Jignesh Solanki,17,Active,April,2026,28-04-2026,30,3,90,58,279.03,5220,5347.91,151.12,Cash,Partial,Commission,4,208.8
C1018,Hitesh Rabari,DB004,Hardik Chauhan,18,Active,May,2026,27-05-2026,30,0.5,15,65,237.56,975,1212.17,0.39,UPI,Paid,Fixed Salary,0,0
C1018,Hitesh Rabari,DB004,Hardik Chauhan,18,Active,February,2026,25-02-2026,26,0.5,13,65,0.39,845,844.08,1.31,Cash,Paid,Fixed Salary,0,0
C1018,Hitesh Rabari,DB004,Hardik Chauhan,18,Active,January,2026,29-01-2026,30,0.5,15,65,1.31,975,767.75,208.56,UPI,Pending,Fixed Salary,0,0
C1018,Hitesh Rabari,DB004,Hardik Chauhan,18,Active,March,2026,29-03-2026,30,0.5,15,65,208.56,975,896.4,287.16,Bank Transfer,Pending,Fixed Salary,0,0
C1018,Hitesh Rabari,DB004,Hardik Chauhan,18,Active,June,2026,28-06-2026,28,0.5,14,65,287.16,910,1112.04,85.12,UPI,Partial,Fixed Salary,0,0
C1018,Hitesh Rabari,DB004,Hardik Chauhan,18,Active,April,2026,28-04-2026,28,0.5,14,65,85.12,910,,32.98,Bank Transfer,Partial,Fixed Salary,0,0
C1019,Bhavesh Thakkar,DB005,Mehul Joshi,19,Active,April,2026,29-04-2026,24,0.5,12,65,45.59,780,763.75,61.84,Cash,Pending,Commission,5,39
C1019,Bhavesh Thakkar,DB005,Mehul Joshi,19,Active,January,2026,28-01-2026,27,0.5,13.5,65,61.84,877.5,888.01,51.33,Bank Transfer,Partial,Commission,5,43.88
C1019,Bhavesh Thakkar,DB005,Mehul Joshi,19,Active,June,2026,27-06-2026,23,0.5,11.5,65,51.33,747.5,639.37,159.46,Bank Transfer,Partial,Commission,5,37.38
C1019,Bhavesh Thakkar,DB005,Mehul Joshi,19,Active,March,2026,30-03-2026,27,0.5,13.5,65,159.46,877.5,938.96,98,UPI,Pending,Commission,5,43.88
C1019,Bhavesh Thakkar,DB005,Mehul Joshi,19,Active,May,2026,28-05-2026,27,0.5,13.5,65,98,877.5,752.9,222.6,UPI,Pending,Commission,5,43.88
C1020,Paresh Soni,DB006,Vishal Rabari,20,Active,May,2026,30-05-2026,30,2.5,75,62,33.73,4650,4457.31,226.42,Bank Transfer,Partial,Fixed Salary,0,0
C1020,Paresh Soni,DB006,Vishal Rabari,20,Active,February,2026,27-02-2026,26,2.5,65,62,226.42,4030,3963.99,292.43,Bank Transfer,Pending,Fixed Salary,0,0
C1020,Paresh Soni,DB006,Vishal Rabari,20,Active,March,2026,30-03-2026,29,2.5,72.5,62,292.43,4495,4716.57,70.86,UPI,Pending,Fixed Salary,0,0
C1021,Nilesh Kansara,DB007,Karan Gohil,21,Stopped,March,2026,27-03-2026,30,3,90,60,61.33,5400,5402.47,58.86,Bank Transfer,Partial,Commission,6,324
C1021,Nilesh Kansara,DB007,Karan Gohil,21,Stopped,June,2026,25-06-2026,28,3,84,60,,5040,4833.29,265.57,Cash,Partial,Commission,6,302.4
C1021,Nilesh Kansara,DB007,Karan Gohil,21,Stopped,April,2026,29-04-2026,29,3,87,60,265.57,5220,5229.27,256.3,Cash,Partial,Commission,6,313.2
C1022,Bharat Vekariya,DB001,Amit Patel,22,Stopped,January,2026,30-01-2026,29,2,58,62,-8.53,3596,3387.1,200.37,Bank Transfer,Partial,Commission,5,179.8
C1022,Bharat Vekariya,DB001,Amit Patel,22,Stopped,February,2026,27-02-2026,26,2,52,62,200.37,3224,3231.91,192.46,Cash,Pending,Commission,5,161.2
C1022,Bharat Vekariya,DB001,Amit Patel,22,Stopped,April,2026,26-04-2026,29,2,58,62,192.46,3596,3599.98,188.48,UPI,Pending,Commission,5,179.8
C1022,Bharat Vekariya,DB001,Amit Patel,22,Stopped,March,2026,27-03-2026,30,2,60,62,188.48,3720,3694.53,213.95,Bank Transfer,Partial,Commission,5,186
C1022,Bharat Vekariya,DB001,Amit Patel,22,Stopped,May,2026,29-05-2026,30,2,60,62,213.95,3720,3789.13,144.82,UPI,Pending,Commission,5,186
C1023,Ketan Prajapati,DB002,Rahul Parmar,23,Active,January,2026,25-01-2026,29,3,87,60,-144.15,5220,4860.99,214.86,UPI,Pending,Fixed Salary,0,0
C1023,Ketan Prajapati,DB002,Rahul Parmar,23,Active,June,2026,29-06-2026,30,3,90,60,214.86,5400,5477.82,137.04,UPI,Pending,Fixed Salary,0,0
C1023,Ketan Prajapati,DB002,Rahul Parmar,23,Active,March,2026,28-03-2026,29,3,87,60,137.04,5220,5165.26,191.78,Cash,Pending,Fixed Salary,0,0
C1023,Ketan Prajapati,DB002,Rahul Parmar,23,Active,April,2026,28-04-2026,30,3,90,60,191.78,5400,5307.39,284.39,UPI,Partial,Fixed Salary,0,0
C1023,Ketan Prajapati,DB002,Rahul Parmar,23,Active,May,2026,30-05-2026,,3,93,60,284.39,5580,5635.58,228.81,UPI,Pending,Fixed Salary,0,0
C1024,Piyush Trivedi,DB003,Jignesh Solanki,24,Active,April,2026,28-04-2026,29,2,58,62,-142.68,3596,3230.88,222.44,Bank Transfer,Partial,Commission,4,143.84
C1024,Piyush Trivedi,DB003,Jignesh Solanki,24,Active,March,2026,31-03-2026,30,2,60,62,222.44,3720,3878.84,63.6,UPI,Partial,Commission,4,148.8
C1024,Piyush Trivedi,DB003,Jignesh Solanki,24,Active,May,2026,31-05-2026,31,2,62,62,63.6,3844,3849.65,57.95,Bank Transfer,Partial,Commission,4,153.76
C1024,Piyush Trivedi,DB003,Jignesh Solanki,24,Active,January,2026,28-01-2026,29,2,58,62,57.95,3596,3548.01,105.94,,Pending,Commission,4,143.84
C1024,Piyush Trivedi,DB003,Jignesh Solanki,24,Active,June,2026,28-06-2026,29,2,58,62,105.94,3596,3473.97,227.97,Bank Transfer,Partial,Commission,4,143.84
C1025,Ajay Bhatti,DB004,Hardik Chauhan,25,Active,June,2026,28-06-2026,24,1.5,36,60,228.1,2160,2314.61,73.49,Cash,Pending,Fixed Salary,0,0
C1025,Ajay Bhatti,DB004,Hardik Chauhan,25,Active,February,2026,27-02-2026,23,1.5,34.5,60,73.49,2070,2014.94,128.55,Bank Transfer,Partial,Fixed Salary,0,0
C1025,Ajay Bhatti,DB004,Hardik Chauhan,25,Active,April,2026,25-04-2026,23,1.5,34.5,60,128.55,2070,1919.93,278.62,Cash,Partial,Fixed Salary,0,0
C1025,Ajay Bhatti,DB004,Hardik Chauhan,25,Active,January,2026,29-01-2026,29,1.5,43.5,60,278.62,2610,2719.24,169.38,Cash,Partial,Fixed Salary,0,0
C1025,Ajay Bhatti,DB004,Hardik Chauhan,25,Active,May,2026,30-05-2026,29,1.5,43.5,60,,2610,2675.83,103.55,Bank Transfer,Partial,Fixed Salary,0,0
C1026,Milan Thakkar,DB005,Mehul Joshi,26,,February,2026,25-02-2026,,3,78,58,184.51,4524,4437.28,271.23,Bank Transfer,Partial,Commission,5,226.2
C1026,Milan Thakkar,DB005,Mehul Joshi,26,Active,June,2026,26-06-2026,30,3,90,58,271.23,5220,5220.74,270.49,Bank Transfer,Pending,Commission,5,261
C1026,Milan Thakkar,DB005,Mehul Joshi,26,Active,May,2026,30-05-2026,30,3,90,58,270.49,5220,5282.65,207.84,Bank Transfer,Partial,Commission,5,261
C1026,Milan Thakkar,DB005,Mehul Joshi,26,Active,April,2026,27-04-2026,29,3,87,58,207.84,5046,5052.47,201.37,UPI,Partial,Commission,5,252.3
C1026,Milan Thakkar,DB005,Mehul Joshi,26,Active,March,2026,28-03-2026,30,3,90,58,201.37,5220,5351.12,70.25,UPI,Pending,Commission,5,261
C1026,Milan Thakkar,DB005,Mehul Joshi,26,Active,January,2026,30-01-2026,31,3,93,58,70.25,5394,5446.71,17.54,Cash,Partial,Commission,5,269.7
C1027, Hemant Mehta ,DB006,Vishal Rabari,27,Active,February,2026,28-02-2026,27,1,27,64,324.58,1728,1843.81,208.77,Cash,Pending,Fixed Salary,0,0
C1027,Hemant Mehta,DB006,Vishal Rabari,27,Active,March,2026,26-03-2026,30,1,30,64,208.77,1920,2001.03,127.74,Bank Transfer,Partial,Fixed Salary,0,0
C1028,Hitesh Mehta,DB007,Karan Gohil,28,Active,January,2026,30-01-2026,29,0.5,14.5,58,225.42,841,797.15,269.27,UPI,Partial,Commission,6,50.46
C1028,Hitesh Mehta,DB007,Karan Gohil,28,Active,May,2026,31-05-2026,26,0.5,13,58,269.27,754,835.69,187.58,Cash,Partial,Commission,6,45.24
C1028,Hitesh Mehta,DB007,Karan Gohil,28,Active,April,2026,27-04-2026,27,0.5,13.5,58,187.58,783,860.73,109.85,,Partial,Commission,6,46.98
C1028, Hitesh Mehta ,DB007,Karan Gohil,28,,February,2026,27-02-2026,23,0.5,11.5,58,109.85,667,674.26,102.59,Cash,Partial,Commission,6,40.02
C1029,Kalpesh Kansara,DB001,Amit Patel,29,Active,March,2026,31-03-2026,30,2,60,64,391.36,3840,,213.95,UPI,Partial,Commission,5,192
C1029,Kalpesh Kansara,DB001,Amit Patel,29,Active,February,2026,25-02-2026,26,2,52,64,213.95,3328,3422.29,119.66,Bank Transfer,Pending,Commission,5,166.4
C1029,Kalpesh Kansara,DB001,Amit Patel,29,Active,April,2026,26-04-2026,29,2,58,64,119.66,3712,3741.54,90.12,UPI,Partial,Commission,5,185.6
C1029,Kalpesh Kansara,DB001,Amit Patel,29,Active,January,2026,31-01-2026,30,2,60,64,90.12,3840,3747.51,182.61,Bank Transfer,Partial,Commission,5,192
C1029,Kalpesh Kansara,DB001,Amit Patel,29,Active,May,2026,29-05-2026,31,2,62,64,182.61,3968,3877.66,272.95,Bank Transfer,Pending,Commission,5,198.4
C1029,Kalpesh Kansara,DB001,Amit Patel,29,Active,June,2026,26-06-2026,28,2,56,64,272.95,3584,3668.91,188.04,Bank Transfer,Partial,Commission,5,179.2
C1030,Hemant Rathod,DB002,Rahul Parmar,30,Active,January,2026,31-01-2026,28,3,84,64,-94.25,5376,5277.72,4.03,UPI,Paid,Fixed Salary,0,0
C1030,Hemant Rathod,DB002,Rahul Parmar,30,Active,April,2026,26-04-2026,24,3,72,64,4.03,4608,4443.4,168.63,Cash,Pending,Fixed Salary,0,0
C1030,Hemant Rathod,DB002,Rahul Parmar,30,Active,June,2026,29-06-2026,25,3,75,64,168.63,4800,4958.36,10.27,UPI,Pending,Fixed Salary,0,0
C1031,Naresh Chauhan,DB003,Jignesh Solanki,31,Active,April,2026,25-04-2026,30,2,60,58,-128.34,3480,3076.07,275.59,Cash,Partial,Commission,4,139.2
C1031,Naresh Chauhan,DB003,Jignesh Solanki,31,Active,May,2026,28-05-2026,31,2,62,58,275.59,3596,3755.45,116.14,Bank Transfer,Partial,Commission,4,143.84
C1032,Krunal Makwana,DB004,Hardik Chauhan,32,Active,June,2026,25-06-2026,28,0.5,14,65,109.71,910,1016.91,2.8,Bank Transfer,Paid,Fixed Salary,0,0
C1032,Krunal Makwana,DB004,Hardik Chauhan,32,Active,January,2026,28-01-2026,29,0.5,14.5,65,2.8,942.5,879.83,65.47,UPI,Partial,Fixed Salary,0,0
C1032,Krunal Makwana,DB004,Hardik Chauhan,32,Active,April,2026,28-04-2026,28,0.5,14,65,65.47,910,892.84,82.63,Bank Transfer,Partial,Fixed Salary,0,0
C1033,Nilesh Rabari,DB005,Mehul Joshi,33,Active,June,2026,30-06-2026,30,0.5,15,60,260.98,900,993.73,167.25,Cash,Pending,Commission,5,45
C1033,Nilesh Rabari,DB005,Mehul Joshi,33,Active,January,2026,25-01-2026,30,0.5,15,60,167.25,900,793.19,274.06,,Partial,Commission,5,45
C1033,Nilesh Rabari,DB005,Mehul Joshi,33,Active,March,2026,30-03-2026,29,0.5,14.5,60,274.06,870,,4.42,Bank Transfer,Paid,Commission,5,43.5
C1034,Jatin Trivedi,DB006,Vishal Rabari,34,Active,April,2026,28-04-2026,29,2,58,58,251.19,3364,3504.92,110.27,Bank Transfer,Pending,Fixed Salary,0,0
C1034,Jatin Trivedi,DB006,Vishal Rabari,34,Active,May,2026,30-05-2026,31,2,62,58,110.27,3596,3656.33,49.94,UPI,Pending,Fixed Salary,0,0
C1034,Jatin Trivedi,DB006,Vishal Rabari,34,Active,January,2026,28-01-2026,29,2,58,58,49.94,3364,3225.03,188.91,Cash,Pending,Fixed Salary,0,0
C1035,Alpesh Chauhan,DB007,Karan Gohil,35,Active,March,2026,29-03-2026,28,1.5,42,64,161.75,2688,2556.52,293.23,UPI,Pending,Commission,6,161.28
C1035,Alpesh Chauhan,DB007,Karan Gohil,35,Active,January,2026,28-01-2026,26,1.5,39,64,293.23,2496,2496.31,292.92,UPI,Pending,Commission,6,149.76
C1035,Alpesh Chauhan,DB007,Karan Gohil,35,Active,June,2026,27-06-2026,27,1.5,40.5,64,292.92,2592,2772.06,112.86,UPI,Pending,Commission,6,155.52
C1035,Alpesh Chauhan,DB007,Karan Gohil,35,Active,April,2026,27-04-2026,27,1.5,40.5,64,112.86,2592,2704.35,0.51,,Paid,Commission,6,155.52
C1036,Dharmesh Prajapati,DB001,Amit Patel,36,Active,February,2026,27-02-2026,27,0.5,13.5,65,-72.63,877.5,744.74,60.13,Bank Transfer,Partial,Commission,5,43.88
C1036,Dharmesh Prajapati,DB001,Amit Patel,36,Active,March,2026,30-03-2026,31,0.5,15.5,65,60.13,1007.5,1050.36,17.27,Cash,Pending,Commission,5,50.38
C1036,Dharmesh Prajapati,DB001,Amit Patel,36,Active,April,2026,28-04-2026,28,0.5,14,65,,910,649.47,277.8,Bank Transfer,Partial,Commission,5,45.5
C1036,Dharmesh Prajapati,DB001,Amit Patel,36,Active,June,2026,25-06-2026,29,0.5,14.5,65,277.8,942.5,1058.13,162.17,Bank Transfer,Pending,Commission,5,47.12
C1036,Dharmesh Prajapati,DB001,Amit Patel,36,Active,January,2026,31-01-2026,29,0.5,14.5,65,162.17,942.5,985.21,119.46,Bank Transfer,Pending,Commission,5,47.12
C1036,Dharmesh Prajapati,DB001,Amit Patel,36,Active,May,2026,26-05-2026,31,0.5,15.5,65,119.46,1007.5,1030.66,96.3,Bank Transfer,Partial,Commission,5,50.38
C1037,Yash Parmar,DB002,Rahul Parmar,37,Active,May,2026,31-05-2026,23,1,23,58,9.39,1334,1066.6,276.79,Cash,Pending,Fixed Salary,0,0
C1037,Yash Parmar,DB002,Rahul Parmar,37,Active,March,2026,26-03-2026,23,1,23,58,276.79,1334,1499.29,111.5,Cash,Partial,Fixed Salary,0,0
C1037,Yash Parmar,DB002,Rahul Parmar,37,Active,April,2026,29-04-2026,24,1,24,58,111.5,1392,1324.34,179.16,Cash,Pending,Fixed Salary,0,0
C1037,Yash Parmar,DB002,Rahul Parmar,37,Active,June,2026,29-06-2026,26,1,26,58,179.16,1508,1680.99,6.17,UPI,Partial,Fixed Salary,0,0
C1037,Yash Parmar,DB002,Rahul Parmar,37,Active,January,2026,31-01-2026,26,1,26,58,6.17,1508,1338.16,176.01,UPI,Pending,Fixed Salary,0,0
